id,time,server,category,value,player_name,killer_name,boss_name,equipment_name,item_name,is_killed,crawl_time
9204949,2026-07-08 01:07:08,Super 1,SYSTEM,lamha0nhien vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,lamha0nhien,,,,Set kích hoạt,0,2026-07-07 18:07:33
9204128,2026-07-08 00:31:33,Super 1,SYSTEM,lamha0nhien vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,lamha0nhien,,,,Set kích hoạt,0,2026-07-07 17:31:31
9200976,2026-07-07 22:31:08,Super 1,SYSTEM,xuanhuongg vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,xuanhuongg,,,,Set kích hoạt,0,2026-07-07 15:31:25
9200421,2026-07-07 22:13:07,Super 1,SYSTEM,chubodoi1 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,chubodoi1,,,,Set kích hoạt,0,2026-07-07 15:13:24
9197764,2026-07-07 20:45:07,Super 1,SYSTEM,[HT] imyourfather vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Gohan,,,,,Set kích hoạt Gohan,0,2026-07-07 14:47:19
9196313,2026-07-07 19:51:06,Super 1,SYSTEM,echvabaoo vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,echvabaoo,,,,Set kích hoạt,0,2026-07-07 14:47:19
9195989,2026-07-07 19:39:53,Super 1,SYSTEM,cyclonedds12 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Thần Vũ Trụ Kaio,cyclonedds12,,,,Set kích hoạt Set Thần Vũ Trụ Kaio,0,2026-07-07 14:47:19
9195415,2026-07-07 19:22:53,Super 1,SYSTEM,toilatewo vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,toilatewo,,,,Set kích hoạt,0,2026-07-07 14:47:19
9195246,2026-07-07 19:17:41,Super 1,SYSTEM,hungdzsuper vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Nail chiến binh Namếc,hungdzsuper,,,,Set kích hoạt Set Nail chiến binh Namếc,0,2026-07-07 14:47:19
9195019,2026-07-07 19:09:30,Super 1,SYSTEM,iammichelin vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Thần Vũ Trụ Kaio,iammichelin,,,,Set kích hoạt Set Thần Vũ Trụ Kaio,0,2026-07-07 14:47:19
9192762,2026-07-07 17:56:41,Super 1,SYSTEM,mavuonglord vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Thần Vũ Trụ Kaio,mavuonglord,,,,Set kích hoạt Set Thần Vũ Trụ Kaio,0,2026-07-07 14:47:19
9192420,2026-07-07 17:46:16,Super 1,SYSTEM,pocolele0 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Nail chiến binh Namếc,pocolele0,,,,Set kích hoạt Set Nail chiến binh Namếc,0,2026-07-07 14:47:19
9189519,2026-07-07 16:00:40,Super 1,SYSTEM,meoudzxz vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Set Thần Vũ Trụ Kaio,meoudzxz,,,,Set kích hoạt Set Thần Vũ Trụ Kaio,0,2026-07-07 14:47:19
9189498,2026-07-07 16:00:04,Super 1,SYSTEM,nhu2004 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,nhu2004,,,,Set kích hoạt,0,2026-07-07 14:47:19
9189116,2026-07-07 15:46:04,Super 1,SYSTEM,superm1 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,superm1,,,,Set kích hoạt,0,2026-07-07 14:47:20
9188439,2026-07-07 15:19:28,Super 1,SYSTEM,bachlien vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,bachlien,,,,Set kích hoạt,0,2026-07-07 14:47:20
9187395,2026-07-07 14:36:52,Super 1,SYSTEM,meoudzxz vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,meoudzxz,,,,Set kích hoạt,0,2026-07-07 14:47:20
9186882,2026-07-07 14:18:14,Super 1,SYSTEM,kkr1net vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,kkr1net,,,,Set kích hoạt,0,2026-07-07 14:47:20
9186459,2026-07-07 14:00:50,Super 1,SYSTEM,hungdzsuper vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,hungdzsuper,,,,Set kích hoạt,0,2026-07-07 14:47:20
9185246,2026-07-07 13:07:27,Super 1,SYSTEM,meomaybe02 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,meomaybe02,,,,Set kích hoạt,0,2026-07-07 14:47:20
9184819,2026-07-07 12:50:37,Super 1,SYSTEM,meoudzxz vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,meoudzxz,,,,Set kích hoạt,0,2026-07-07 14:47:20
9184573,2026-07-07 12:42:27,Super 1,SYSTEM,chubodoi1 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,chubodoi1,,,,Set kích hoạt,0,2026-07-07 14:47:20
9183084,2026-07-07 11:51:02,Super 1,SYSTEM,troinang vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,troinang,,,,Set kích hoạt,0,2026-07-07 14:47:20
9179742,2026-07-07 09:10:12,Super 1,SYSTEM,nhu2004 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,nhu2004,,,,Set kích hoạt,0,2026-07-07 02:10:02
9179553,2026-07-07 09:01:12,Super 1,SYSTEM,kkr1net vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,kkr1net,,,,Set kích hoạt,0,2026-07-07 02:01:02
9179360,2026-07-07 08:55:01,Super 1,SYSTEM,[HT] hieu7fp74d vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Gohan,,,,,Set kích hoạt Gohan,0,2026-07-07 01:55:02
9178465,2026-07-07 08:23:24,Super 1,SYSTEM,cyclonedds12 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,cyclonedds12,,,,Set kích hoạt,0,2026-07-07 01:23:00
9177044,2026-07-07 07:35:35,Super 1,SYSTEM,echvabaoo vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,echvabaoo,,,,Set kích hoạt,0,2026-07-07 00:35:58
9177036,2026-07-07 07:35:23,Super 1,SYSTEM,cyclonedds12 vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,cyclonedds12,,,,Set kích hoạt,0,2026-07-07 00:34:58
9176742,2026-07-07 07:26:00,Super 1,SYSTEM,iammichelin vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt,iammichelin,,,,Set kích hoạt,0,2026-07-07 00:25:58
9175513,2026-07-07 06:44:22,Super 1,SYSTEM,[HT] siufapsu vừa đánh quái may mắn nhận được 1 trang bị Set kích hoạt Gohan,,,,,Set kích hoạt Gohan,0,2026-07-06 23:44:56
